id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
3A3WCIkkm5MqGRnc4LT6fz,0.761,0.847,-3.068,0.0417,0.0292,2.26e-06,0.39,0.765,91.519,284480
5ByAIlEEnxYdvpnezg7HTX,0.889,0.818,-4.639,0.253,0.47,0.0,0.179,0.782,96.063,302760
0j5X6DrzkgY64Mm8NQp5mi,0.69,0.747,-4.583,0.264,0.0094,0.000709,0.355,0.0701,171.367,326640
2ltaeJyPESnEi32ef025lL,0.808,0.71,-8.099,0.306,0.00807,0.0,0.208,0.711,94.606,235187
2MuJbBWAVewREJmB8WdGJ3,0.78,0.754,-5.377,0.0952,0.135,0.034,0.0467,0.81,82.394,260307
6fqqAsCYfDOtXAD8Ydo06K,0.925,0.741,-5.827,0.315,0.0653,0.0,0.044,0.654,93.04,247107
20LxTsa6936zOlzTWqoPVt,0.92,0.891,-2.398,0.253,0.0313,0.0,0.083,0.311,95.295,161600
6Tsu3OsuMz4KEGKbOYd6A0,0.895,0.694,-4.384,0.275,0.176,0.0,0.292,0.632,93.944,230000
5l8DtC184m362w8xMd21L3,0.7,0.786,-4.279,0.164,0.051,0.0,0.191,0.64,96.919,213173
2g8HN35AnVGIk7B8yMucww,0.78,0.575,-7.247,0.273,0.43,0.0,0.143,0.773,84.492,252747
3Pg8D3Ozee2hpU5u8Inp5Y,0.786,0.635,-5.307,0.321,0.094,0.0,0.0771,0.483,97.315,205920
0Bd3oaSitY4a57zlwV9sG6,0.755,0.738,-6.792,0.152,0.162,1.98e-05,0.173,0.744,154.788,367960
6Z5d0kNhqxga62Snvvk8X8,0.862,0.705,-6.036,0.3,0.0252,0.0,0.0914,0.591,105.02,216533
35gEwPklT8wDTPOM9lNRnQ,0.621,0.951,-4.46,0.622,0.142,0.0,0.216,0.403,166.442,322400
1fGHOnbIPoo1tPwpd70MsY,0.735,0.735,-4.985,0.363,0.347,7.58e-06,0.323,0.566,88.399,275840
5JUcGqo5BF2Hw6qqVoGBcN,0.858,0.767,-8.265,0.0771,0.0178,2.14e-06,0.145,0.91,104.463,257400
1uoTV81xbgVL1jFkK5lxzO,0.936,0.847,-6.145,0.225,0.0419,0.0,0.0799,0.747,100.406,192627
3lZpRrikvXTFli0qyU7Q9q,0.904,0.798,-7.456,0.269,0.0493,2.15e-06,0.0412,0.764,111.753,235227
3HS6qQSSED5O424vnV9zlq,0.966,0.912,-4.833,0.159,0.00307,0.0,0.0867,0.934,128.115,183173
2ZyF43MjrsyIcU3FwHb72M,0.768,0.817,-4.295,0.0567,0.0253,0.000124,0.0535,0.934,105.692,309693
0jGgxmO82YIGkcoRb4jngg,0.789,0.614,-4.823,0.0503,0.101,0.0,0.0733,0.676,80.545,237987
13XHuE00ElL5thSxkaEXxK,0.803,0.784,-5.97,0.198,0.0012,0.000161,0.0794,0.801,90.185,296907
6ltPEsP4edATzvinHOzvk2,0.814,0.779,-3.271,0.235,0.175,0.000671,0.0605,0.544,93.43,268005
4Tyv7nnNTHC6mR1pTubIrw,0.912,0.553,-4.716,0.205,0.188,0.0,0.102,0.62,91.991,270467
62amXUB4pVXXBtQTfNgPvY,0.772,0.891,-3.029,0.183,0.128,0.0,0.323,0.849,95.306,217440
5JucaUHIiSdDjw4mhm2cCn,0.846,0.872,-3.604,0.126,0.0379,0.0017,0.0564,0.819,99.251,242427
269TXy0nskEBvKXXAaK6tR,0.804,0.594,-12.676,0.192,0.00776,0.79,0.344,0.514,92.18,161213
0Zh5U48tZNeAzzLTV1CVBE,0.925,0.737,-1.292,0.0777,0.092,0.0,0.169,0.603,133.946,222240
4Ha7Kzk4Uo1zQVTnZiG9rg,0.775,0.829,-1.933,0.304,0.0606,0.0,0.33,0.836,176.047,278160
06wOQGz4bGB7HETrIjpIep,0.915,0.656,-2.827,0.0716,0.00299,0.0,0.324,0.642,112.243,290227
2hSiACXW5Nt0yUxWUsoIpU,0.788,0.807,-7.092,0.118,0.0501,0.454,0.334,0.62,102.396,292973
2e7mHNFlXCkFdKjJ3nsK9E,0.808,0.535,-11.47,0.206,0.381,0.0358,0.111,0.611,95.0,294000
3JIqogHHQIQW1uJ5Yivb88,0.612,0.568,-8.555,0.0743,0.523,0.0,0.217,0.23,116.247,346164
0rf8whOpWQjuBqQwPbtLma,0.508,0.602,-6.988,0.148,0.348,0.0,0.193,0.0978,74.048,298641
1Wk59GxXboLAfqSjtVxDLp,0.807,0.693,-3.842,0.317,0.0453,0.0,0.234,0.595,90.886,258427
3liD1gxb1LAy2ccADcY70o,0.405,0.721,-6.97,0.284,0.329,0.0,0.252,0.816,92.855,280680
2tNmhDlMbwQZLxQtWMt2EU,0.787,0.72,-7.569,0.313,0.223,0.0,0.633,0.521,121.003,253467
33ZXjLCpiINn8eQIDYEPTD,0.763,0.786,-6.472,0.229,0.0146,0.0114,0.0817,0.504,93.857,325507
7N1Vjtzr1lmmCW9iasQ8YO,0.813,0.703,-5.077,0.268,0.125,1.26e-06,0.237,0.241,94.828,224533
0l1XUBmLkp9DgLQy6ahMYW,0.774,0.593,-5.989,0.274,0.029,0.0,0.0455,0.561,91.989,248253
0W5M10Od3wY9GnS3MVa8x7,0.403,0.742,-5.889,0.338,0.0498,0.0,0.418,0.717,90.336,274480
